#,Name,Black Owned Confirmed?,Area,Direct Venmo/Donation Option/Giftcard,Cuisine/ Shop type,Website,Instagram,FB,Twitter,YouTube,Delivery Options,Combined Address,Street Address,City,State,Zipcode,Email Address,Phone
57,Asmara Restaurant,Confirmed,Cambridge,,Ethiopian,http://www.asmararestaurantboston.com/,n/a,https://www.facebook.com/pages/Asmara-Restaurant/113459538688828,n/a,n/a,Pick up,"739 Massachusetts Ave, Cambridge, MA 02139",739 Massachusetts Ave,Cambridge,MA,2139,,
58,Bytes Cafe,Confirmed,Cambridge,,Senegalese,,,,,,,,64 Sidney St #1,Cambridge,MA,2139,,
59,Sheger Cafe and Ethiopian Restaurant LLC,Unconfirmed,Cambridge,,Ethiopian,https://shegercafeandethiopianrestaraunt.business.site/,,,,,"Grubhub, seamless, ubereats, doordash","2376 Massachusetts Avenue, Cambridge, MA 02140",2376 Massachusetts Avenue,Cambridge,MA,2140,,
60,La Fabrica Central,Unconfirmed,Cambridge,,Latin/ Caribbean,https://www.lafabricacentral.com/,https://www.instagram.com/lafabricacentral_restaurant/,https://www.facebook.com/LaFabricaCentral/,,,"ubereats, doordash","450 Massachusetts Ave, Cambridge MA 02139",450 Massachusetts Ave,Cambridge MA 02139,MA,2139,,
61,Izzy's Restaurant & Sub Shop,Unconfirmed,Cambridge,,Puerto Rican / Creole,http://www.izzysrestaurantcambridge.com/,,,,,Pick up,"169 Harvard St, Cambridge, MA 02139",169 Harvard St,Cambridge,MA,2139,,
62,Baraka Cafe,Unconfirmed,Cambridge,,Tunisian / Moroccan / North African,https://www.barakacuisine.com/,https://www.instagram.com/barakacafecambridge/,https://www.facebook.com/barakacafe1998/,n/a,n/a,,"1728 MASSACHUSETTS AVENUE, CAMBRIDGE, MA 02138",1728 MASSACHUSETTS AVENUE,CAMBRIDGE,MA,2138,,
63,The Coast Café,Confirmed,Cambridge,,American,http://www.coastsoulcafe.com/,https://www.instagram.com/coastsoulcafe/,https://www.facebook.com/thecoastcafe/,n/a,n/a,GrubHub,"233 River Street | Cambridge, MA 02139",233 River Street | Cambridge,Cambridge,MA,2139,,
64,Oggi Gourmet,Unconfirmed,Cambridge,,Pizzeria,http://www.oggigourmet.com/,n/a,https://www.facebook.com/bostonoggi,https://twitter.com/oggigourmet,n/a,,"30 Dunster St., Cambridge",30 Dunster Street,Cambridge,MA,2138,bostonoggi@yahoo.com,(617) 492-6444 
65,The Little Crêpe Café,Confirmed,Cambridge,,American,https://www.littlecrepecafe.com/,https://www.instagram.com/littlecrepecafe/,https://www.facebook.com/LittleCrepeCafe/,n/a,n/a,"Doordash, grubhub,seamless","102 Oxford Street, Cambridge, MA",102 Oxford Street,Cambridge,MA,,,
66,Antonio's Pizzeria ,Unconfirmed,Dorchester,,American,,,https://www.facebook.com/antoniospizzeria.dot/,,,"Grubhub, Seamless, Doordash, Slicelife","1508 Dorchester Ave, Dorchester, MA 02122",1508 Dorchester Ave,Dorchester,MA,2122,,
67,One Family Dinner,Unconfirmed,Dorchester,,American,,,https://www.facebook.com/Levis323/,,,Ubereats,,,,MA,,,
68,The Rotisserie,Unconfirmed,Dorchester,,American,http://www.rotisseriedorchester.com/,,,,,Grubhub,,,,MA,,,
69,Vaughan Fish & Chips,Unconfirmed,Dorchester,,American,,,https://www.facebook.com/pages/Vaughan-Fish-Chips/100849106625946,,,Ubereats,,,,MA,,,
70,Down Home Delivery and Catering,Confirmed,Dorchester,,American,http://www.downhomedelivery.com/,,,,,"Pick up, catering",,,,MA,,,
71,Family Affair Catering,Confirmed,Dorchester,,American,https://famaffairboston.wixsite.com/mysite/,,,,,"Seamless, grubhub, ubereats",,,,MA,,,
72,Auntie Vie's Bakery Cafe,Confirmed,Dorchester,,Bakery,n/a,n/a,https://www.facebook.com/pages/category/Bakery/Auntie-Vies-Bakery-Cafe-152960008211429/,n/a,n/a,,,,,MA,,,
73,Bon Appetit,Unconfirmed,Dorchester,,Caribbean,https://www.yelp.com/biz/bon-appetit-restaurant-dorchester-center,,,,,"Ubereats, doordash",,,,MA,,,
74,Levi's Restaurant and Lounge,Unconfirmed,Dorchester,,Caribbean,https://www.yelp.com/biz/levis-restaurant-and-lounge-boston,,,,,,,,,MA,,,
75,Raphael's Restaurant,Unconfirmed,Dorchester,,Caribbean,https://www.raphaelsrest.com/,,,,,Ubereats,,,,MA,,,
76,M & M BBQ,Confirmed,Dorchester,,Barbecue,https://www.mandmribs.com/,,,,,Ubereats,"1250 Massachusetts Ave, Dorchester, MA 02125",1250 Massachusetts Ave,Dorchester,MA,2125,,
77,Cesaria,Confirmed,Dorchester,,Cape Verde,http://restaurantecesariadorchester.cafecityguide.website/,,,,,"Doordash, grubhub, ubereats","266 Bowdoin St, Dorchester, MA 02122 ",266 Bowdoin St,Dorchester,MA,2122,,
78,`,Confirmed,Dorchester,,Coffee,,https://www.instagram.com/ripplecafe_/,,,,"Doordash, seamless, grubhub",,,,MA,,,
79,50Kitchen,Confirmed,Dorchester,https://www.toasttab.com/50kitchen/giftcards?utmCampaign=onlineOrdering,Southern/Asian Fusion,https://50kitchen.com/index.html,https://www.instagram.com/chef_50/,https://www.facebook.com/50kitchen/?ref=br_rs,@50Kitchen,https://www.youtube.com/channel/UCiPcYR_5yE70eFMn70s4U0A,"Grubhub,toasttab, ubereats",,,,MA,,,6174742433
80,Singh's Roti Shop,Confirmed,Dorchester,,Trinidadian,http://www.singhsrotishop.net/,,,,,"Doordash, EzCarter,ubereats, grubhub",,,,MA,,,
81,Irie Jamaican Style Restaurant,Unconfirmed,Dorchester,,Jamaican,http://www.iriejamaicanstylerestaurant.net/,,,,,"Doordash, ubereats","855 Washington St, Dorchester Center, MA 02124",855 Washington St,Dorchester Center,MA,2124,,
82,Ghost Pepper Taco + Tequila Bar,Unconfirmed,Dorchester,,Mexican,https://www.ghostpepperboston.com/menu,,,,,Delivery,,,,MA,,,
83,Bobby Fish ,Unconfirmed,Dorchester,,Seafood,https://zmenu.com/bobby-fish-market-boston-online-menu/,,,,,Pick up ,312 Bowdoin St,,,MA,,,
84,Only One Jamaican Restaurant,Unconfirmed,"Dorchester, Brockton, Hyde Park",,Jamaican,https://www.onlyonerestaurant.com/,,,,,Doordash,,,,MA,,,
85,Tawakal Halal Cafe,Confirmed,East Boston,@Tawakal-cafe,Somali,,https://www.instagram.com/tawakalhalalcafe,,,,"Ubereats, postmates","389 Maverick St, Boston, MA 02128",389 Maverick St,Boston,MA,2128,,6174185890
86,NoExcuse Produce Clothing ,Unconfirmed,Framingham,,Clothing Company,,,https://www.facebook.com/NoExcuseProduceClothing/,,,,,,,MA,,,
87,Nzuko,Confirmed,Framingham,,Caribbean / Mediterranean,http://nzukorestaurant.com/,https://www.instagram.com/nzukorestaurant/,https://www.facebook.com/nzukorestaurant/,n/a,n/a,Grubhub,"341 Cochituate Road Framingham, MA 01701",341 Cochituate Road,Framingham,MA,1701,,
88,67 Degrees Brewing,Unconfirmed,Franklin,,Brewery ,https://www.67degreesbrewing.com/,https://www.instagram.com/67degrees.brew/,https://www.facebook.com/67degrees.brew/,n/a,n/a,,"158 Grove St, Franklin, MA",158 Grove St,Franklin,MA, ,,
89,Au Beurre Chaud Bakery ,Unconfirmed,Hyde Park,,Haitian,https://au-beurre-chaud-bakery.hub.biz/?fbclid=IwAR0fOXL9urxcIooiTVb7O2JsRzseRAahYIwBnXy6zLI0SJE0WAe_-1-QoGM,n/a,https://www.facebook.com/pages/Au-Beurre-Chaud-Bakery/120606774617941,n/a,n/a,"Grubhub, Seamless",,,,MA,,,
90,Las Vegas Seafood ,Unconfirmed,Hyde Park,,Haitian,,,https://www.facebook.com/LasVegasHydePark/,,,"Doordash, ubereats",,,,MA,,,
91,D Coal Pot,Unconfirmed,Hyde Park,,Trinidadian,,,https://www.facebook.com/D-Coal-Pot-137261126484637/,,,Doordash,,,,MA,,,
92,Exodus Bagels,Unconfirmed,Jamaica Plain,https://www.toasttab.com/exodus-bagels-roslindale/giftcards,Breakfast,http://www.exodusbagels.com/,,,,,Toasttab,"3346 Washington St, Boston, MA 02130",3346 Washington St,Boston,MA,2130,exodusbagels@gmail.com,
93,Blue Nile Restaurant,Confirmed,Jamaica Plain,,Ethiopian,http://bluenilejp.com/,,,,,Local,"389 Centre St. Jamaica Plain, MA. 02130",389 Centre St. Jamaica Plain,,MA,2130,,
94,Yelu's,Unconfirmed,Jamaica Plain,,American,,,https://www.facebook.com/pages/Yelys-Coffee-Shop/198932653458469,,,"Grubhub, ubereats","284 Centre St, Jamaica Plain, MA 02130",284 Centre St,Jamaica Plain,MA,2130,,
95,Pikalo Restaurant,Unconfirmed,Jamaica Plain,,Latin/ Dominican,https://www.yelp.com/biz/pikalo-jamaica-plain-2,n/a,https://www.facebook.com/pages/category/Latin-American-Restaurant/Pikalo-1640133909552845/,n/a,n/a,"Ubereats, grubhub, doordash","378 Centre St, Boston, MA 02130",378 Centre St,Boston,MA,2130,,
96,Imani Massage,Unconfirmed,Jamaica Plain,,Massage,https://www.imanimassage.com/,,,,,,"3684 Washington Street, Boston, MA 02130",3684 Washington Street,Boston,MA,2130,,(617) 821-2875
97,Ethiopian Cafe,Confirmed,Jamaica Plain ,,Ethiopian,http://ethiopiancafe.business.site/,,,,,,"377 Centre St., Jamaica Plain, MA 02130",377 Centre St.,Jamaica Plain,MA,2130,,
98,Jamaica Mi Hungry,Confirmed,Jamaica Plain ,@Ernie-Campbell-5,Jamaican,https://www.jamaicamihungry.com/,,,,,Doordash,"225 Centre St, Boston, MA 02130",225 Centre St,Boston,MA,2130,,6172598017
99,Gourmet Diva,Unconfirmed,Location in MA,,Catering Company,http://www.thegourmetdiva.com/,,,,,(Seems to be in NY?),,,,MA,,,
100,Jamaica's Flavor ,Unconfirmed,Lynn,,Jamaican,https://jamaicas-flavor.business.site/,,,,,Local,"121 Pleasant St, Lynn, MA 01901",121 Pleasant St,Lynn,MA,1901,,
101,Rite Spice Caribbean,Unconfirmed,Lynn,,Jamaican,,,https://www.facebook.com/pages/category/Jamaican-Restaurant/Rite-Spice-Caribbean-447176678713240/,,,Ubereats,"532 Western Ave, Lynn, MA 01904",532 Western Ave,Lynn,MA,1904,,
102,Crazy Good Kitchen,Unconfirmed,Malden,,Burgers,https://www.crazygoodkitchen.com,,,,,"Grubhub, ubereats, seamless","906 Eastern Ave, Malden, MA 02148",906 Eastern Ave,Malden,MA,2148,,
103,Infused Kreyol,Unconfirmed,Malden,,Caribbean,https://www.yelp.com/biz/infused-kreyol-malden,,,,,"Doordash, ubereats",,,,MA,,,
104,Habesha Ethiopia Restaurant ,Unconfirmed,Malden,,Ethiopian,https://www.habeshamalden.com/,,,,,"Doordash, ubereats, grubhub, postmates",,,,MA,,,
105,Franklin International Beauty,Unconfirmed,Malden,,Nigerian,,,https://www.facebook.com/pages/category/Shopping---Retail/Franklin-International-Beauty-Store-1568987270011375/,,,,,,,MA,,,
106,Safari African Food,Unconfirmed,Mattapan,,African,http://places.singleplatform.com/safari-african-restaurant/menu?ref=google,,https://www.facebook.com/Safari-African-Restaurant-958952424167310/,,,,"1336 Blue Hill Avenue, Mattapan, MA 02126",1336 Blue Hill Avenue,Mattapan,MA,2126,,
107,Prestige Cuisine LLC,Unconfirmed,Mattapan,,African and Caribbean,n/a,,https://www.facebook.com/prestige.cuisine.7,,,Local,"924 Morton St, Boston, MA 02126",924 Morton St,Boston,MA,2126,,
